,age,workclass,education-num,marital-status,occupation,race,sex,native-country,class
0,2,State-gov,13,Never-married,Adm-clerical,White,Male,United-States,<=50K
1,3,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K
2,2,Private,9,Divorced,Handlers-cleaners,White,Male,United-States,<=50K
3,3,Private,7,Married-civ-spouse,Handlers-cleaners,Black,Male,United-States,<=50K
4,1,Private,13,Married-civ-spouse,Prof-specialty,Black,Female,Cuba,<=50K
5,2,Private,14,Married-civ-spouse,Exec-managerial,White,Female,United-States,<=50K
6,3,Private,5,Married-spouse-absent,Other-service,Black,Female,Jamaica,<=50K
7,3,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
8,1,Private,14,Never-married,Prof-specialty,White,Female,United-States,>50K
9,2,Private,13,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
10,2,Private,10,Married-civ-spouse,Exec-managerial,Black,Male,United-States,>50K
11,1,State-gov,13,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,India,>50K
12,0,Private,13,Never-married,Adm-clerical,White,Female,United-States,<=50K
13,1,Private,12,Never-married,Sales,Black,Male,United-States,<=50K
15,1,Private,4,Married-civ-spouse,Transport-moving,Amer-Indian-Eskimo,Male,Mexico,<=50K
16,0,Self-emp-not-inc,9,Never-married,Farming-fishing,White,Male,United-States,<=50K
17,1,Private,9,Never-married,Machine-op-inspct,White,Male,United-States,<=50K
18,2,Private,7,Married-civ-spouse,Sales,White,Male,United-States,<=50K
19,2,Self-emp-not-inc,14,Divorced,Exec-managerial,White,Female,United-States,>50K
20,2,Private,16,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
21,3,Private,9,Separated,Other-service,Black,Female,United-States,<=50K
22,1,Federal-gov,5,Married-civ-spouse,Farming-fishing,Black,Male,United-States,<=50K
23,2,Private,7,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
24,4,Private,9,Divorced,Tech-support,White,Female,United-States,<=50K
25,4,Local-gov,13,Married-civ-spouse,Tech-support,White,Male,United-States,>50K
26,0,Private,9,Never-married,Craft-repair,White,Male,United-States,<=50K
28,2,Private,9,Divorced,Exec-managerial,White,Male,United-States,<=50K
29,3,Private,9,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
30,0,Local-gov,12,Never-married,Protective-serv,White,Male,United-States,<=50K
31,0,Private,10,Never-married,Sales,Black,Male,United-States,<=50K
32,2,Private,13,Divorced,Exec-managerial,White,Male,United-States,<=50K
33,1,Federal-gov,10,Married-civ-spouse,Adm-clerical,White,Male,United-States,<=50K
34,0,State-gov,10,Married-civ-spouse,Other-service,Black,Male,United-States,<=50K
35,3,Private,7,Never-married,Machine-op-inspct,White,Male,Puerto-Rico,<=50K
36,0,Private,10,Never-married,Machine-op-inspct,White,Male,United-States,<=50K
37,0,Private,9,Married-AF-spouse,Adm-clerical,White,Female,United-States,<=50K
39,3,Self-emp-not-inc,12,Married-civ-spouse,Prof-specialty,White,Male,United-States,<=50K
40,1,Private,5,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,<=50K
41,3,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,White,Male,United-States,<=50K
42,0,Private,13,Married-civ-spouse,Tech-support,White,Male,United-States,<=50K
43,3,Private,9,Separated,Adm-clerical,White,Female,United-States,<=50K
44,0,Private,9,Never-married,Handlers-cleaners,White,Male,United-States,<=50K
45,4,Federal-gov,13,Married-civ-spouse,Prof-specialty,Black,Male,United-States,>50K
46,3,Private,9,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,<=50K
47,2,Private,14,Divorced,Exec-managerial,White,Female,United-States,<=50K
48,2,State-gov,11,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
49,1,Private,11,Never-married,Prof-specialty,White,Male,United-States,<=50K
50,0,Private,10,Married-civ-spouse,Exec-managerial,Other,Female,United-States,<=50K
52,3,Private,15,Married-civ-spouse,Prof-specialty,White,Female,Honduras,>50K
53,3,Federal-gov,13,Divorced,Exec-managerial,White,Male,United-States,>50K
54,3,Self-emp-inc,9,Divorced,Exec-managerial,White,Male,United-States,<=50K
55,2,Private,10,Married-civ-spouse,Tech-support,White,Male,United-States,>50K
56,3,Private,3,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico,<=50K
57,1,Private,11,Married-civ-spouse,Other-service,White,Male,Puerto-Rico,<=50K
58,2,Private,9,Married-civ-spouse,Adm-clerical,White,Male,United-States,<=50K
59,1,Private,9,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,<=50K
60,1,Private,13,Married-civ-spouse,Sales,White,Male,United-States,<=50K
62,3,Private,9,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
63,2,Private,16,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
64,1,Private,10,Divorced,Tech-support,White,Male,United-States,<=50K
65,2,Private,9,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
66,1,Private,10,Divorced,Adm-clerical,White,Female,United-States,<=50K
67,3,Private,9,Married-civ-spouse,Adm-clerical,White,Female,United-States,>50K
68,3,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
70,0,Private,10,Never-married,Prof-specialty,White,Male,United-States,<=50K
71,1,Private,13,Separated,Sales,Black,Female,United-States,<=50K
72,1,Self-emp-not-inc,13,Married-civ-spouse,Sales,White,Male,United-States,>50K
73,0,Private,10,Never-married,Machine-op-inspct,White,Male,United-States,<=50K
74,4,Private,10,Married-civ-spouse,Prof-specialty,White,Male,United-States,<=50K
75,1,Private,9,Never-married,Other-service,White,Male,Mexico,<=50K
76,2,Private,12,Married-civ-spouse,Adm-clerical,White,Male,United-States,<=50K
78,0,Private,7,Never-married,Other-service,White,Female,United-States,<=50K
79,1,Local-gov,4,Married-civ-spouse,Farming-fishing,White,Male,United-States,<=50K
80,0,Private,9,Never-married,Sales,White,Male,United-States,<=50K
81,3,Private,13,Married-civ-spouse,Other-service,White,Male,Cuba,<=50K
82,3,Private,9,Married-civ-spouse,Other-service,White,Female,United-States,<=50K
83,4,Private,9,Married-civ-spouse,Sales,White,Male,United-States,<=50K
84,2,Private,9,Divorced,Craft-repair,White,Female,United-States,>50K
85,3,Private,9,Divorced,Sales,White,Female,United-States,<=50K
86,3,Local-gov,9,Married-civ-spouse,Protective-serv,White,Male,United-States,>50K
87,1,Private,14,Married-civ-spouse,Prof-specialty,White,Male,United-States,<=50K
88,1,Private,5,Never-married,Sales,White,Male,United-States,<=50K
89,2,Federal-gov,16,Never-married,Prof-specialty,White,Female,United-States,>50K
90,4,Private,11,Married-civ-spouse,Prof-specialty,White,Male,United-States,<=50K
91,2,Private,10,Divorced,Craft-repair,White,Female,United-States,<=50K
92,1,Private,10,Divorced,Machine-op-inspct,Black,Female,United-States,<=50K
94,1,Local-gov,13,Married-civ-spouse,Protective-serv,White,Male,United-States,>50K
95,1,Local-gov,10,Never-married,Handlers-cleaners,White,Male,United-States,<=50K
96,3,Self-emp-not-inc,16,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
97,2,Private,10,Married-civ-spouse,Sales,White,Male,United-States,>50K
98,3,Private,12,Divorced,Exec-managerial,White,Female,England,<=50K
99,1,Federal-gov,9,Never-married,Other-service,Black,Male,United-States,<=50K
100,4,Private,14,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
101,2,Private,13,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
102,3,Self-emp-not-inc,14,Never-married,Prof-specialty,White,Female,United-States,<=50K
103,0,Private,10,Never-married,Tech-support,White,Female,United-States,<=50K
104,1,Private,9,Never-married,Craft-repair,White,Male,United-States,<=50K
105,1,Self-emp-inc,9,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
107,1,Private,7,Never-married,Handlers-cleaners,White,Male,United-States,<=50K
108,1,Local-gov,9,Never-married,Adm-clerical,White,Female,United-States,<=50K
109,2,Private,9,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,<=50K
110,0,Private,13,Never-married,Sales,White,Male,United-States,<=50K
111,2,Private,15,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
112,4,Self-emp-not-inc,9,Married-civ-spouse,Other-service,White,Male,Canada,>50K
113,1,Private,10,Married-civ-spouse,Sales,White,Female,United-States,<=50K
114,2,Private,9,Never-married,Machine-op-inspct,White,Female,United-States,<=50K
115,3,Private,5,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,<=50K
116,4,Self-emp-inc,10,Married-civ-spouse,Sales,White,Male,United-States,<=50K
117,3,Local-gov,11,Married-civ-spouse,Craft-repair,Black,Male,United-States,>50K
118,3,Private,10,Married-civ-spouse,Sales,White,Male,United-States,<=50K
119,0,Private,9,Never-married,Craft-repair,White,Male,United-States,<=50K
120,0,Private,10,Never-married,Other-service,White,Female,United-States,<=50K
121,2,Private,13,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K
122,1,Private,13,Never-married,Exec-managerial,Black,Male,Germany,<=50K
123,1,State-gov,13,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
124,0,Private,10,Never-married,Other-service,Black,Male,United-States,<=50K
125,3,Private,13,Married-civ-spouse,Exec-managerial,White,Female,United-States,>50K
